d,A* h1,d,A* random heuristic,,d,A* h2,,,,,,,,
8,41,8,44,,8,26,,,,,,,,
8,38,8,44,,8,21,,,,,,,,
8,30,8,57,,8,29,,,,,,,,
8,36,8,25,,8,23,,,,,,,,
8,31,8,91,,8,32,,,,,,,,
8,35,8,41,,8,35,,,,,,,,
8,26,8,46,,8,23,,,,,,,,
8,29,8,41,,8,16,,,,,,,,
8,31,8,49,,8,29,,,,,,,,
8,35,8,41,,8,35,,,,,,,,
8,33,8,51,,8,26,,,,,,,,
8,33,8,55,,8,24,,,,,,,,
8,52,8,47,,8,24,,,,,,,,
8,41,8,44,,8,26,,,,,,,,
8,40,8,43,,8,31,,,,,,,,
8,29,8,56,,8,16,,,,,,,,
8,30,8,50,,8,30,,,,,,,,
8,35,8,41,,8,23,,,,,,,,
8,28,8,34,,8,22,,,,,,,,
8,27,8,126,,8,22,,,,,,,,
8,17,8,58,,8,21,,,,,,,,
8,52,8,47,,8,24,,,,,,,,
8,37,8,38,,8,26,,,,,,,,
8,47,8,54,,8,28,,,,,,,,
8,17,8,94,,8,23,,,,,,,,
8,17,8,94,,8,23,,,,,,,,
8,34,8,56,,8,39,,,,,,,,
8,35,8,68,,8,26,,,,,,,,
8,46,8,73,,8,23,,,,,,,,
8,26,8,74,,8,21,,,,,,,,
8,37,8,38,,8,26,,,,,,,,
8,16,8,59,,8,19,,,,,,,,
8,27,8,50,,8,16,,,,,,,,
8,42,8,103,,8,41,,,,,,,,
8,33,8,53,,8,28,,,,,,,,
8,18,8,65,,8,21,,,,,,,,
8,37,8,38,,8,26,,,,,,,,
8,29,8,56,,8,16,,,,,,,,
8,38,8,93,,8,31,,,,,,,,
8,35,8,39,,8,35,,,,,,,,
8,16,8,36,,8,19,,,,,,,,
8,47,8,54,,8,28,,,,,,,,
8,35,8,39,,8,35,,,,,,,,
8,24,8,58,,8,21,,,,,,,,
8,29,8,41,,8,16,,,,,,,,
8,17,8,71,,8,20,,,,,,,,
8,47,8,54,,8,28,,,,,,,,
8,27,8,53,,8,29,,,,,,,,
8,17,8,40,,8,26,,,,,,,,
8,31,8,91,,8,32,,,,,,,,
8,17,8,71,,8,20,,,,,,,,
8,16,8,59,,8,19,,,,,,,,
8,35,8,79,,8,30,,,,,,,,
8,28,8,34,,8,22,,,,,,,,
8,35,8,41,,8,35,,,,,,,,
8,34,8,56,,8,39,,,,,,,,
8,33,8,53,,8,28,,,,,,,,
8,40,8,43,,8,31,,,,,,,,
8,37,8,51,,8,28,,,,,,,,
8,18,8,51,,8,30,,,,,,,,
8,37,8,126,,8,30,,,,,,,,
8,17,8,40,,8,26,,,,,,,,
8,49,8,46,,8,38,,,,,,,,
8,16,8,59,,8,19,,,,,,,,
8,27,8,50,,8,16,,,,,,,,
8,31,8,91,,8,32,,,,,,,,
8,40,8,45,,8,19,,,,,,,,
8,18,8,51,,8,30,,,,,,,,
8,29,8,31,,8,16,,,,,,,,
8,16,8,59,,8,19,,,,,,,,
8,49,8,65,,8,40,,,,,,,,
8,34,8,50,,8,23,,,,,,,,
8,17,8,71,,8,20,,,,,,,,
8,37,8,49,,8,25,,,,,,,,
8,16,8,36,,8,19,,,,,,,,
8,31,8,40,,8,23,,,,,,,,
8,17,8,58,,8,21,,,,,,,,
8,16,8,36,,8,19,,,,,,,,
8,33,8,25,,8,28,,,,,,,,
8,49,8,71,,8,26,,,,,,,,
8,18,8,49,,8,22,,,,,,,,
8,16,8,59,,8,19,,,,,,,,
8,17,8,94,,8,23,,,,,,,,
8,46,8,42,,8,36,,,,,,,,
8,18,8,49,,8,22,,,,,,,,
8,46,8,73,,8,23,,,,,,,,
8,31,8,40,,8,23,,,,,,,,
8,16,8,59,,8,19,,,,,,,,
8,30,8,35,,8,30,,,,,,,,
8,29,8,54,,8,21,,,,,,,,
8,18,8,51,,8,30,,,,,,,,
8,29,8,54,,8,21,,,,,,,,
8,35,8,69,,8,23,,,,,,,,
8,32,8,58,,8,27,,,,,,,,
10,72,10,98,,10,25,,,,,,,,
10,54,10,81,,10,28,,,,,,,,
10,69,10,82,,10,42,,,,,,,,
10,79,10,164,,10,41,,,,,,,,
10,71,10,79,,10,27,,,,,,,,
10,66,10,86,,10,22,,,,,,,,
10,53,10,153,,10,22,,,,,,,,
10,55,10,77,,10,34,,,,,,,,
10,56,10,39,,10,30,,,,,,,,
10,68,10,83,,10,32,,,,,,,,
10,82,10,76,,10,44,,,,,,,,
10,75,10,144,,10,33,,,,,,,,
10,46,10,90,,10,25,,,,,,,,
10,99,10,99,,10,33,,,,,,,,
10,84,10,146,,10,73,,,,,,,,
